db_name,original_question,evidence,sql,question_index,dataset_name,question_evidence,question,difficulty,complexity
sales_in_weather,What was the temperature range of station no.1 on 2012/1/1?,"on 2012/1/1 refers to date = '2012-01-01'; temperature range refers to Subtract (tmax, tmin); station no.1 refers to station_nbr = 1",SELECT tmax - tmin AS temrange FROM weather WHERE station_nbr = 1 AND `date` = '2012-01-01',8140,BIRD-SQL,"What was the temperature range of station no.1 on 2012/1/1? Evidence: on 2012/1/1 refers to date = '2012-01-01'; temperature range refers to Subtract (tmax, tmin); station no.1 refers to station_nbr = 1","What was the temperature range of station no.1 on 2012/1/1?. Evidence: on 2012/1/1 refers to date = '2012-01-01'; temperature range refers to Subtract (tmax, tmin); station no.1 refers to station_nbr = 1",easy,basic SQL
codebase_comments,What is the github address of the repository that contains files used by solution ID12?,github address refers to Url;,SELECT T1.Url FROM Repo AS T1 INNER JOIN Solution AS T2 ON T1.Id = T2.RepoId WHERE T2.Id = 12,592,BIRD-SQL,What is the github address of the repository that contains files used by solution ID12? Evidence: github address refers to Url;,What is the github address of the repository that contains files used by solution ID12?. Evidence: github address refers to Url;,medium,single join
movie,"In romantic movies, how many of them starred by John Travolta?",romantic movies refers to Genre = 'Romance'; starred by John Travolta refers to Name = 'John Travolta',SELECT COUNT(*) FROM movie AS T1 INNER JOIN characters AS T2 ON T1.MovieID = T2.MovieID INNER JOIN actor AS T3 ON T3.ActorID = T2.ActorID WHERE T1.Genre = 'Romance' AND T3.Name = 'John Travolta',763,BIRD-SQL,"In romantic movies, how many of them starred by John Travolta? Evidence: romantic movies refers to Genre = 'Romance'; starred by John Travolta refers to Name = 'John Travolta'","In romantic movies, how many of them starred by John Travolta?. Evidence: romantic movies refers to Genre = 'Romance'; starred by John Travolta refers to Name = 'John Travolta'",hard,multiple_joins
synthea,How many unmarried women were checked for normal pregnancy?,unmarried refers to marital = 'S'; women refers to gender = 'F'; normal pregnancy refers to conditions.DESCRIPTION = 'normal pregnancy';,SELECT COUNT(DISTINCT T2.patient) FROM conditions AS T1 INNER JOIN patients AS T2 ON T1.PATIENT = T2.patient WHERE T1.DESCRIPTION = 'Normal pregnancy' AND T2.gender = 'F' AND T2.marital = 'S',1483,BIRD-SQL,How many unmarried women were checked for normal pregnancy? Evidence: unmarried refers to marital = 'S'; women refers to gender = 'F'; normal pregnancy refers to conditions.DESCRIPTION = 'normal pregnancy';,How many unmarried women were checked for normal pregnancy?. Evidence: unmarried refers to marital = 'S'; women refers to gender = 'F'; normal pregnancy refers to conditions.DESCRIPTION = 'normal pregnancy';,medium,single join
retails,What is the name of the product with the highest retail price?,name of the product refers to p_name; the highest retail price refers to p_retailprice,SELECT p_name FROM part WHERE p_retailprice = ( SELECT MAX(p_retailprice) FROM part ),6862,BIRD-SQL,What is the name of the product with the highest retail price? Evidence: name of the product refers to p_name; the highest retail price refers to p_retailprice,What is the name of the product with the highest retail price?. Evidence: name of the product refers to p_name; the highest retail price refers to p_retailprice,hard,subqueries
image_and_language,List all the ids of the images that have a self-relation relationship.,ids of the images refers to IMG_ID; self-relations refers to OBJ1_SAMPLE_ID = OBJ2_SAMPLE_ID,SELECT DISTINCT IMG_ID FROM IMG_REL WHERE OBJ1_SAMPLE_ID = OBJ2_SAMPLE_ID,7508,BIRD-SQL,List all the ids of the images that have a self-relation relationship. Evidence: ids of the images refers to IMG_ID; self-relations refers to OBJ1_SAMPLE_ID = OBJ2_SAMPLE_ID,List all the ids of the images that have a self-relation relationship.. Evidence: ids of the images refers to IMG_ID; self-relations refers to OBJ1_SAMPLE_ID = OBJ2_SAMPLE_ID,easy,basic SQL
chicago_crime,Which community area has the highest number of crimes reported on the street?,reported on the street refers to location_description = 'STREET'; community area with highest number of crime refers to Max(Count(location_description)); community area refers to community_area_no,SELECT T1.community_area_no FROM Community_Area AS T1 INNER JOIN Crime AS T2 ON T2.community_area_no = T1.community_area_no WHERE T2.location_description = 'STREET' GROUP BY T1.community_area_no ORDER BY COUNT(T2.location_description) DESC LIMIT 1,8682,BIRD-SQL,Which community area has the highest number of crimes reported on the street? Evidence: reported on the street refers to location_description = 'STREET'; community area with highest number of crime refers to Max(Count(location_description)); community area refers to community_area_no,Which community area has the highest number of crimes reported on the street?. Evidence: reported on the street refers to location_description = 'STREET'; community area with highest number of crime refers to Max(Count(location_description)); community area refers to community_area_no,extra,single join
chicago_crime,What is the district address associated with the case JB107731?,case JB107731 refers to case_number = 'JB107731',SELECT T1.address FROM District AS T1 INNER JOIN Crime AS T2 ON T2.district_no = T1.district_no WHERE T2.case_number = 'JB107731',8670,BIRD-SQL,What is the district address associated with the case JB107731? Evidence: case JB107731 refers to case_number = 'JB107731',What is the district address associated with the case JB107731?. Evidence: case JB107731 refers to case_number = 'JB107731',medium,single join
public_review_platform,"Write down the any five of ID and name of category that starts with alphabet ""P"".","category that starts with alphabet ""P"" refers to category_name like 'P%';","SELECT category_id, category_name FROM Categories WHERE category_name LIKE 'P%' LIMIT 5",4075,BIRD-SQL,"Write down the any five of ID and name of category that starts with alphabet ""P"". Evidence: category that starts with alphabet ""P"" refers to category_name like 'P%';","Write down the any five of ID and name of category that starts with alphabet ""P"".. Evidence: category that starts with alphabet ""P"" refers to category_name like 'P%';",hard,basic SQL
synthea,What is the most common condition among the female Americans?,the most common condition refers to MAX(COUNT(DESCRIPTION)); among the female Americans refer to PATIENT where gender = 'F' and ethnicity = 'american';,SELECT T2.DESCRIPTION FROM patients AS T1 INNER JOIN conditions AS T2 ON T1.patient = T2.PATIENT WHERE T1.gender = 'F' AND T1.ethnicity = 'american' GROUP BY T2.DESCRIPTION ORDER BY COUNT(T2.DESCRIPTION) DESC LIMIT 1,1393,BIRD-SQL,What is the most common condition among the female Americans? Evidence: the most common condition refers to MAX(COUNT(DESCRIPTION)); among the female Americans refer to PATIENT where gender = 'F' and ethnicity = 'american';,What is the most common condition among the female Americans?. Evidence: the most common condition refers to MAX(COUNT(DESCRIPTION)); among the female Americans refer to PATIENT where gender = 'F' and ethnicity = 'american';,extra,single join
computer_student,Which professor teaches the highest number of professional or master/graduate courses?,professor refers to taughtBy.p_id; highest number of professional or master/graduate courses refers to max(count(taughtBy.course_id)) where courseLevel = 'Level_500',SELECT T2.p_id FROM course AS T1 INNER JOIN taughtBy AS T2 ON T1.course_id = T2.course_id WHERE T1.courseLevel = 'Level_500' GROUP BY T2.p_id ORDER BY COUNT(T2.course_id) DESC LIMIT 1,1020,BIRD-SQL,Which professor teaches the highest number of professional or master/graduate courses? Evidence: professor refers to taughtBy.p_id; highest number of professional or master/graduate courses refers to max(count(taughtBy.course_id)) where courseLevel = 'Level_500',Which professor teaches the highest number of professional or master/graduate courses?. Evidence: professor refers to taughtBy.p_id; highest number of professional or master/graduate courses refers to max(count(taughtBy.course_id)) where courseLevel = 'Level_500',extra,single join
car_retails,How many Sales Manager who are working in Sydney? List out their email.,Sales Manager is a job title; Sydney is a city;,SELECT T1.email FROM employees AS T1 INNER JOIN offices AS T2 ON T1.officeCode = T2.officeCode WHERE T1.jobTitle LIKE '%Sales Manager%' AND T2.city = 'Sydney',1575,BIRD-SQL,How many Sales Manager who are working in Sydney? List out their email. Evidence: Sales Manager is a job title; Sydney is a city;,How many Sales Manager who are working in Sydney? List out their email.. Evidence: Sales Manager is a job title; Sydney is a city;,hard,single join
address,What are the precise locations of the cities with an area code of 787?,"precise location refers to latitude, longitude","SELECT T2.latitude, T2.longitude FROM area_code AS T1 INNER JOIN zip_data AS T2 ON T1.zip_code = T2.zip_code WHERE T1.area_code = '787' GROUP BY T2.latitude, T2.longitude",5100,BIRD-SQL,"What are the precise locations of the cities with an area code of 787? Evidence: precise location refers to latitude, longitude","What are the precise locations of the cities with an area code of 787?. Evidence: precise location refers to latitude, longitude",hard,single join
movies_4,What is the average number of crews for a movie?,"average number of crews = divide(count(person_id), COUNT(movie_id))","SELECT CAST(SUM(CD) AS REAL) / COUNT(movie_id) FROM ( SELECT movie_id, COUNT(person_id) AS CD FROM movie_crew GROUP BY movie_id )",518,BIRD-SQL,"What is the average number of crews for a movie? Evidence: average number of crews = divide(count(person_id), distinct COUNT(movie_id))","What is the average number of crews for a movie?. Evidence: average number of crews = divide(count(person_id), distinct COUNT(movie_id))",extra,subqueries
movie,"Who was the actor that played in the movie ""Batman"" with the longest screentime?","movie ""Batman"" refers to Title = 'Batman'; longest screentime refers to max(screentime)",SELECT T2.Name FROM characters AS T1 INNER JOIN actor AS T2 ON T1.ActorID = T2.ActorID INNER JOIN movie AS T3 ON T3.MovieID = T1.MovieID WHERE T3.Title = 'Batman' ORDER BY T1.screentime DESC LIMIT 1,747,BIRD-SQL,"Who was the actor that played in the movie ""Batman"" with the longest screentime? Evidence: movie ""Batman"" refers to Title = 'Batman'; longest screentime refers to max(screentime)","Who was the actor that played in the movie ""Batman"" with the longest screentime?. Evidence: movie ""Batman"" refers to Title = 'Batman'; longest screentime refers to max(screentime)",extra,multiple_joins
retail_complains,Write down the date received of complaints sent via Fax.,sent via Fax refers to Submitted via = 'Fax',SELECT T1.`Date received` FROM callcenterlogs AS T1 INNER JOIN events AS T2 ON T1.`Complaint ID` = T2.`Complaint ID` WHERE T2.`Submitted via` = 'Fax',360,BIRD-SQL,Write down the date received of complaints sent via Fax. Evidence: sent via Fax refers to Submitted via = 'Fax',Write down the date received of complaints sent via Fax.. Evidence: sent via Fax refers to Submitted via = 'Fax',medium,single join
talkingdata,Please list the categories of the app users who are not active when event no.2 happened.,not active refers to is_active = 0; event no. refers to event_id; event_id = 2;,SELECT DISTINCT T1.category FROM label_categories AS T1 INNER JOIN app_labels AS T2 ON T1.label_id = T2.label_id INNER JOIN app_events AS T3 ON T2.app_id = T3.app_id WHERE T3.event_id = 2 AND T3.is_active = 0,1087,BIRD-SQL,Please list the categories of the app users who are not active when event no.2 happened. Evidence: not active refers to is_active = 0; event no. refers to event_id; event_id = 2;,Please list the categories of the app users who are not active when event no.2 happened.. Evidence: not active refers to is_active = 0; event no. refers to event_id; event_id = 2;,hard,multiple_joins
movielens,"Among the users who gave a rating of 5, how many of them are male?",Male users mean that u_gender = 'M',SELECT COUNT(T1.userid) FROM u2base AS T1 INNER JOIN users AS T2 ON T1.userid = T2.userid WHERE T1.rating = 5 AND T2.u_gender = 'M',2248,BIRD-SQL,"Among the users who gave a rating of 5, how many of them are male? Evidence: Male users mean that u_gender = 'M'","Among the users who gave a rating of 5, how many of them are male?. Evidence: Male users mean that u_gender = 'M'",medium,single join
movie_platform,Name the movie with the most ratings.,movie with the most rating refers to MAX(SUM(rating_score));,SELECT movie_title FROM movies GROUP BY movie_title ORDER BY COUNT(movie_title) DESC LIMIT 1,3,BIRD-SQL,Name the movie with the most ratings. Evidence: movie with the most rating refers to MAX(SUM(rating_score));,Name the movie with the most ratings.. Evidence: movie with the most rating refers to MAX(SUM(rating_score));,hard,aggregation
movie_3,How many film titles were released in 2006?,released in 2006 refers to release_year = 2006,SELECT COUNT(film_id) FROM film WHERE release_year = 2006,9338,BIRD-SQL,How many film titles were released in 2006? Evidence: released in 2006 refers to release_year = 2006,How many film titles were released in 2006?. Evidence: released in 2006 refers to release_year = 2006,easy,basic SQL
movie_3,Provide the list of the longest movies. Arrange these titles in alphabetical order.,the longest refers to max(length),SELECT title FROM film WHERE length = ( SELECT MAX(length) FROM film ),9384,BIRD-SQL,Provide the list of the longest movies. Arrange these titles in alphabetical order. Evidence: the longest refers to max(length),Provide the list of the longest movies. Arrange these titles in alphabetical order.. Evidence: the longest refers to max(length),hard,subqueries
car_retails,How many distinct orders were there in 2003 when the quantity ordered was less than 30?,year(orderDate) = '2003'; quantityOrdered < 30;,"SELECT COUNT(DISTINCT T1.orderNumber) FROM orderdetails AS T1 INNER JOIN orders AS T2 ON T1.orderNumber = T2.orderNumber WHERE T1.quantityOrdered < 30 AND STRFTIME('%Y', T2.orderDate) = '2003'",1558,BIRD-SQL,How many distinct orders were there in 2003 when the quantity ordered was less than 30? Evidence: year(orderDate) = '2003'; quantityOrdered < 30;,How many distinct orders were there in 2003 when the quantity ordered was less than 30?. Evidence: year(orderDate) = '2003'; quantityOrdered < 30;,medium,single join
cars,What is the name of the most expensive car?,name of the car refers to car_name; the most expensive refers to max(price),SELECT T1.car_name FROM data AS T1 INNER JOIN price AS T2 ON T1.ID = T2.ID ORDER BY T2.price DESC LIMIT 1,3091,BIRD-SQL,What is the name of the most expensive car? Evidence: name of the car refers to car_name; the most expensive refers to max(price),What is the name of the most expensive car?. Evidence: name of the car refers to car_name; the most expensive refers to max(price),hard,single join
movie_3,Which film titles have the most expensive rental rate?,the most expensive rental rate refers to max(rental_rate),SELECT title FROM film WHERE rental_rate = ( SELECT MAX(rental_rate) FROM film ),9341,BIRD-SQL,Which film titles have the most expensive rental rate? Evidence: the most expensive rental rate refers to max(rental_rate),Which film titles have the most expensive rental rate?. Evidence: the most expensive rental rate refers to max(rental_rate),hard,subqueries
talkingdata,Please list the app IDs of all the users in the Securities category.,,SELECT T2.app_id FROM label_categories AS T1 INNER JOIN app_labels AS T2 ON T1.label_id = T2.label_id WHERE T1.category = 'Securities',1142,BIRD-SQL,Please list the app IDs of all the users in the Securities category. Evidence: ,Please list the app IDs of all the users in the Securities category.,medium,single join
trains,How many trains are running west?,west is a direction,SELECT COUNT(id) FROM trains WHERE direction = 'west',711,BIRD-SQL,How many trains are running west? Evidence: west is a direction,How many trains are running west?. Evidence: west is a direction,easy,basic SQL
professional_basketball,Which teams have winning rate less than 50%?,"team with winning rate less than 50% refers to Divide (won, Sum(won, lost)) < 0.5",SELECT name FROM teams WHERE CAST(won AS REAL) * 100 / (won + lost) < 50,2835,BIRD-SQL,"Which teams have winning rate less than 50%? Evidence: team with winning rate less than 50% refers to Divide (won, Sum(won, lost)) < 0.5","Which teams have winning rate less than 50%?. Evidence: team with winning rate less than 50% refers to Divide (won, Sum(won, lost)) < 0.5",easy,basic SQL
menu,"Among the menus that include baked apples with cream, who is the sponsor of the menu with the highest price?",baked apples with cream is a name of dish; highest price refers to MAX(price);,SELECT T4.sponsor FROM MenuPage AS T1 INNER JOIN MenuItem AS T2 ON T1.id = T2.menu_page_id INNER JOIN Dish AS T3 ON T2.dish_id = T3.id INNER JOIN Menu AS T4 ON T4.id = T1.menu_id WHERE T3.name = 'Baked apples with cream' AND T3.id = 107 ORDER BY T2.price DESC LIMIT 1,5556,BIRD-SQL,"Among the menus that include baked apples with cream, who is the sponsor of the menu with the highest price? Evidence: baked apples with cream is a name of dish; highest price refers to MAX(price);","Among the menus that include baked apples with cream, who is the sponsor of the menu with the highest price?. Evidence: baked apples with cream is a name of dish; highest price refers to MAX(price);",extra,multiple_joins
university,"In 2014, what is the name of the university which was considered a leader in the publications rank?",In 2014 refers to year = 2014; leader refers to MAX(score); in the publications rank refers to criteria_name = 'Publications Rank'; name of university refers to university_name;,SELECT T3.university_name FROM ranking_criteria AS T1 INNER JOIN university_ranking_year AS T2 ON T1.id = T2.ranking_criteria_id INNER JOIN university AS T3 ON T3.id = T2.university_id WHERE T1.criteria_name = 'Publications Rank' AND T2.year = 2014 AND T1.id = 17 ORDER BY T2.score DESC LIMIT 1,7995,BIRD-SQL,"In 2014, what is the name of the university which was considered a leader in the publications rank? Evidence: In 2014 refers to year = 2014; leader refers to MAX(score); in the publications rank refers to criteria_name = 'Publications Rank'; name of university refers to university_name;","In 2014, what is the name of the university which was considered a leader in the publications rank?. Evidence: In 2014 refers to year = 2014; leader refers to MAX(score); in the publications rank refers to criteria_name = 'Publications Rank'; name of university refers to university_name;",extra,multiple_joins
superstore,"Among the orders in Central superstore, which art product were ordered the most?",art product refers to Sub-Category = 'Art'; the most refers to max(order_number),SELECT T2.`Product Name` FROM central_superstore AS T1 INNER JOIN product AS T2 ON T1.`Product ID` = T2.`Product ID` WHERE T2.`Sub-Category` = 'Art' GROUP BY T2.`Product Name` ORDER BY COUNT(T2.`Product ID`) DESC LIMIT 1,2417,BIRD-SQL,"Among the orders in Central superstore, which art product were ordered the most? Evidence: art product refers to Sub-Category = 'Art'; the most refers to max(order_number)","Among the orders in Central superstore, which art product were ordered the most?. Evidence: art product refers to Sub-Category = 'Art'; the most refers to max(order_number)",extra,single join
